path,owner,status,reason
.dockerignore,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
.env.example,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
.gitattributes,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
.github/workflows/test-backend-frontend.yml,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
.github/workflows/user-docs.yml,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
.gitignore,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
.release-please-manifest.json,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
CHANGELOG.md,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
README.md,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/bug_reports/capture.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/bug_reports/middleware.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/bug_reports/tasks.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/chat/consumers/chat.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/consumers/chat_delta.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/consumers/chat_publish.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/consumers/chat_receive.py,chat,mixed/adapted,Memory tool routing and structured logs ported; payload preview replaced with character count.
aquillm/apps/chat/consumers/utils.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/management/__init__.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/management/commands/__init__.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/management/commands/index_conversations.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/migrations/0005_conversationchunk_and_more.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/migrations/0006_wsconversation_index_complete_db_default.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/models/__init__.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/models/chunk.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/models/conversation.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/services/collection_prompt_skills.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/services/conversation_indexing.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/services/conversation_search.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/services/rag_evidence_handoff.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/services/rag_metrics.py,chat,graph-only excluded,All source changes are graph metrics.
aquillm/apps/chat/services/rag_pipeline.py,chat,mixed/adapted,Graph metric forwarding excluded; production retrieval preserved; added forced history-tool bypass so selected collections cannot preempt memory recall.
aquillm/apps/chat/services/rag_query.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/services/retrieval_authorization.py,chat,graph-only excluded,Imports hybrid_graph_authorization and graph authorization context.
aquillm/apps/chat/services/skills_runtime.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/services/tool_wiring/__init__.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/services/tool_wiring/document_figure_payloads.py,chat,equivalent,Pure extraction of unchanged existing helpers in documents.py; existing implementation retained.
