schema_version,module,case_id,stratum,conformant,expected,actual,diagnostics
1.0,routing,routing-favorable-01,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""retrieve"",""helper_action"":""retrieve"",""query"":""Search the documents for the calibration method."",""reason"":""explicit_search""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""retrieve"",""helper_action"":""retrieve"",""query"":""Search the documents for the calibration method."",""reason"":""explicit_search""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""Direct search request with a selected collection.""}"
1.0,routing,routing-favorable-02,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""retrieve"",""helper_action"":""retrieve"",""query"":null,""reason"":""collection_backed_question""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""retrieve"",""helper_action"":""retrieve"",""query"":""What do these papers report about calibration?"",""reason"":""collection_backed_question""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""Direct collection-backed question.""}"
1.0,routing,routing-favorable-03,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":true,""wants_whole_document"":false},""direct_action"":""retrieve"",""helper_action"":""retrieve"",""query"":null,""reason"":""figure_request""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":true,""wants_whole_document"":false},""direct_action"":""retrieve"",""helper_action"":""retrieve"",""query"":""Show the figure from the paper."",""reason"":""figure_request""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""Explicit figure request with selected evidence.""}"
1.0,routing,routing-favorable-04,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""retrieve"",""helper_action"":""retrieve"",""query"":null,""reason"":""explicit_search""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""retrieve"",""helper_action"":""retrieve"",""query"":""Consult the source for the reported wavelength."",""reason"":""explicit_search""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""Direct request to consult a source.""}"
1.0,routing,routing-favorable-05,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""prompt_select_collection"",""helper_action"":""prompt_select_collection"",""query"":null,""reason"":""explicit_search""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""prompt_select_collection"",""helper_action"":""prompt_select_collection"",""query"":""Search the documents for the calibration method."",""reason"":""explicit_search""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""Explicit search cannot run without a selected collection.""}"
1.0,routing,routing-favorable-06,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":true,""wants_whole_document"":false},""direct_action"":""prompt_select_collection"",""helper_action"":""prompt_select_collection"",""query"":null,""reason"":""figure_request""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":true,""wants_whole_document"":false},""direct_action"":""prompt_select_collection"",""helper_action"":""prompt_select_collection"",""query"":""Display the chart from the source."",""reason"":""figure_request""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""Figure retrieval needs a collection selection.""}"
1.0,routing,routing-favorable-07,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""prompt_select_collection"",""helper_action"":""prompt_select_collection"",""query"":null,""reason"":""explicit_search""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""prompt_select_collection"",""helper_action"":""prompt_select_collection"",""query"":""Look in the files for the detector settings."",""reason"":""explicit_search""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""Direct file lookup has no search scope yet.""}"
1.0,routing,routing-favorable-08,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""prompt_select_collection"",""helper_action"":""prompt_select_collection"",""query"":null,""reason"":""explicit_search""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":true,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""prompt_select_collection"",""helper_action"":""prompt_select_collection"",""query"":""Query the papers for their sample size."",""reason"":""explicit_search""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""Direct paper query requires collection selection.""}"
1.0,routing,routing-favorable-09,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":false,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""skip_normal_tool_loop"",""helper_action"":""skip_normal_tool_loop"",""query"":null,""reason"":""no_retrieval_needed""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":false,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""skip_normal_tool_loop"",""helper_action"":""skip_normal_tool_loop"",""query"":""Hello, how are you?"",""reason"":""no_retrieval_needed""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""A greeting needs neither retrieval nor local tools.""}"
1.0,routing,routing-favorable-10,favorable,True,"{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":false,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""skip_normal_tool_loop"",""helper_action"":""skip_normal_tool_loop"",""query"":null,""reason"":""no_retrieval_needed""}","{""classifier"":{""is_retry"":false,""requires_local_tools"":false,""requires_rag"":false,""wants_figures"":false,""wants_whole_document"":false},""direct_action"":""skip_normal_tool_loop"",""helper_action"":""skip_normal_tool_loop"",""query"":""What is twelve plus thirty?"",""reason"":""no_retrieval_needed""}","{""checks"":{""classifier"":true,""direct_action"":{""conformant"":true,""status"":""ok""},""helper_action"":true,""query"":true,""reason"":true},""rationale"":""A general arithmetic request is outside document retrieval.""}"
