schema_version,module,case_id,stratum,conformant,expected,actual,diagnostics
1.0,evidence,evidence-favorable-01,favorable,True,"{""relevant_evidence_ids"":[""ef01-a""]}","{""selected_evidence_ids"":[""ef01-a"",""ef01-b""]}","{""aquillm_packet_citation_tokens"":[""[doc:doc-a chunk:1]"",""[doc:doc-b chunk:1]""],""sequential_citation_tokens"":[""[doc:doc-a chunk:1]"",""[doc:doc-b chunk:1]""]}"
1.0,evidence,evidence-favorable-02,favorable,True,"{""relevant_evidence_ids"":[""ef02-a"",""ef02-b""]}","{""selected_evidence_ids"":[""ef02-a"",""ef02-b""]}","{""aquillm_packet_citation_tokens"":[""[doc:doc-a chunk:2]"",""[doc:doc-b chunk:2]""],""sequential_citation_tokens"":[""[doc:doc-a chunk:2]"",""[doc:doc-b chunk:2]""]}"
1.0,evidence,evidence-favorable-03,favorable,True,"{""relevant_evidence_ids"":[""ef03-a"",""ef03-b""]}","{""selected_evidence_ids"":[""ef03-a"",""ef03-b""]}","{""aquillm_packet_citation_tokens"":[""[doc:doc-c chunk:1]"",""[doc:doc-c chunk:2]""],""sequential_citation_tokens"":[""[doc:doc-c chunk:1]"",""[doc:doc-c chunk:2]""]}"
1.0,evidence,evidence-favorable-04,favorable,True,"{""relevant_evidence_ids"":[""ef04-a""]}","{""selected_evidence_ids"":[""ef04-a"",""ef04-b""]}","{""aquillm_packet_citation_tokens"":[""[doc:doc-d chunk:1]"",""[doc:doc-e chunk:1]""],""sequential_citation_tokens"":[""[doc:doc-d chunk:1]"",""[doc:doc-e chunk:1]""]}"
1.0,evidence,evidence-favorable-05,favorable,True,"{""relevant_evidence_ids"":[""ef05-a""]}","{""selected_evidence_ids"":[""ef05-a"",""ef05-b""]}","{""aquillm_packet_citation_tokens"":[""[doc:doc-f chunk:3]"",""[doc:doc-g chunk:1]""],""sequential_citation_tokens"":[""[doc:doc-f chunk:3]"",""[doc:doc-g chunk:1]""]}"
1.0,evidence,evidence-favorable-06,favorable,True,"{""relevant_evidence_ids"":[]}","{""selected_evidence_ids"":[]}","{""aquillm_packet_citation_tokens"":[],""sequential_citation_tokens"":[]}"
1.0,evidence,evidence-unfavorable-01,unfavorable,False,"{""relevant_evidence_ids"":[""eu01-a"",""eu01-b"",""eu01-c""]}","{""selected_evidence_ids"":[""eu01-a"",""eu01-c""]}","{""aquillm_packet_citation_tokens"":[""[doc:doc-a chunk:10]"",""[doc:doc-b chunk:10]""],""sequential_citation_tokens"":[""[doc:doc-a chunk:10]""]}"
1.0,evidence,evidence-unfavorable-02,unfavorable,False,"{""relevant_evidence_ids"":[""eu02-b""]}","{""selected_evidence_ids"":[""eu02-a""]}","{""aquillm_packet_citation_tokens"":[""[doc:doc-c chunk:10]""],""sequential_citation_tokens"":[""[doc:doc-c chunk:10]""]}"
1.0,evidence,evidence-unfavorable-03,unfavorable,False,"{""relevant_evidence_ids"":[""eu03-c""]}","{""selected_evidence_ids"":[""eu03-a""]}","{""aquillm_packet_citation_tokens"":[""[doc:doc-e chunk:10]""],""sequential_citation_tokens"":[""[doc:doc-e chunk:10]""]}"
1.0,evidence,evidence-unfavorable-04,unfavorable,True,"{""relevant_evidence_ids"":[""eu04-a"",""eu04-b""]}","{""selected_evidence_ids"":[""eu04-a"",""eu04-c"",""eu04-b""]}","{""aquillm_packet_citation_tokens"":[""[doc:doc-f chunk:10]"",""[doc:doc-g chunk:10]""],""sequential_citation_tokens"":[""[doc:doc-f chunk:10]"",""[doc:doc-g chunk:10]""]}"
