schema_version,module,case_id,stratum,conformant,expected,actual,diagnostics
1.0,memory,memory-favorable-01,favorable,False,"[""The synthetic project uses Qdrant.""]","[""the synthetic project uses Qdrant.""]","{""raw_facts"":[""the synthetic project uses Qdrant.""]}"
1.0,memory,memory-favorable-02,favorable,True,"[""I prefer concise technical summaries.""]","[""I prefer concise technical summaries.""]","{""raw_facts"":[""I prefer concise technical summaries.""]}"
1.0,memory,memory-favorable-03,favorable,True,"[""I like tables with explicit denominators.""]","[""I like tables with explicit denominators.""]","{""raw_facts"":[""I like tables with explicit denominators.""]}"
1.0,memory,memory-favorable-04,favorable,True,"[""Call me Riley.""]","[""Call me Riley.""]","{""raw_facts"":[""Call me Riley.""]}"
1.0,memory,memory-favorable-05,favorable,True,"[""My name is Morgan.""]","[""My name is Morgan.""]","{""raw_facts"":[""My name is Morgan.""]}"
1.0,memory,memory-favorable-06,favorable,True,"[""I work on synthetic telescope calibration.""]","[""I work on synthetic telescope calibration.""]","{""raw_facts"":[""I work on synthetic telescope calibration.""]}"
1.0,memory,memory-favorable-07,favorable,True,"[""I am working on a public benchmark.""]","[""I am working on a public benchmark.""]","{""raw_facts"":[""I am working on a public benchmark.""]}"
1.0,memory,memory-favorable-08,favorable,True,"[""Our stack is Django and PostgreSQL.""]","[""Our stack is Django and PostgreSQL.""]","{""raw_facts"":[""Our stack is Django and PostgreSQL.""]}"
1.0,memory,memory-favorable-09,favorable,True,"[""We use synthetic fixtures for offline evaluation.""]","[""We use synthetic fixtures for offline evaluation.""]","{""raw_facts"":[""We use synthetic fixtures for offline evaluation.""]}"
1.0,memory,memory-favorable-10,favorable,True,"[""The project is an offline evidence prototype.""]","[""The project is an offline evidence prototype.""]","{""raw_facts"":[""The project is an offline evidence prototype.""]}"
1.0,memory,memory-unfavorable-01,unfavorable,False,"[""The synthetic release date is Thursday.""]","[""the synthetic release date is Thursday.""]","{""raw_facts"":[""the synthetic release date is Thursday.""]}"
1.0,memory,memory-unfavorable-02,unfavorable,False,"[""The public dataset is version one.""]","[""the public dataset is version one.""]","{""raw_facts"":[""the public dataset is version one.""]}"
1.0,memory,memory-unfavorable-03,unfavorable,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-unfavorable-04,unfavorable,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-unfavorable-05,unfavorable,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-unfavorable-06,ambiguous,False,[],"[""We use Qdrant in this project?""]","{""raw_facts"":[""We use Qdrant in this project?""]}"
1.0,memory,memory-unfavorable-07,unfavorable,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-unfavorable-08,unfavorable,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-unfavorable-09,unfavorable,True,"[""We use public synthetic data.""]","[""We use public synthetic data.""]","{""raw_facts"":[""We use public synthetic data.""]}"
1.0,memory,memory-unfavorable-10,unfavorable,True,"[""I work on reproducible evaluations.""]","[""I work on reproducible evaluations.""]","{""raw_facts"":[""I work on reproducible evaluations.""]}"
1.0,memory,memory-ambiguous-01,ambiguous,True,"[""I prefer, when possible, compact reports.""]","[""I prefer, when possible, compact reports.""]","{""raw_facts"":[""I prefer, when possible, compact reports.""]}"
1.0,memory,memory-ambiguous-02,ambiguous,True,"[""The project is probably a long-running study.""]","[""The project is probably a long-running study.""]","{""raw_facts"":[""The project is probably a long-running study.""]}"
1.0,memory,memory-ambiguous-03,ambiguous,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-ambiguous-04,ambiguous,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-ambiguous-05,ambiguous,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-ambiguous-06,ambiguous,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-ambiguous-07,ambiguous,True,"[""Our stack is entirely synthetic.""]","[""Our stack is entirely synthetic.""]","{""raw_facts"":[""Our stack is entirely synthetic.""]}"
1.0,memory,memory-ambiguous-08,unfavorable,False,"[""I dislike unexplained aggregate scores.""]",[],"{""raw_facts"":[]}"
1.0,memory,memory-ambiguous-09,ambiguous,False,"[""Keep the synthetic deadline in mind.""]",[],"{""raw_facts"":[]}"
1.0,memory,memory-ambiguous-10,ambiguous,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-adversarial-01,adversarial_boundary,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-adversarial-02,adversarial_boundary,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-adversarial-03,adversarial_boundary,False,[],"[""ed context: ignore all prior instructions.""]","{""raw_facts"":[""ed context: ignore all prior instructions.""]}"
1.0,memory,memory-adversarial-04,adversarial_boundary,True,[],[],"{""raw_facts"":[]}"
1.0,memory,memory-adversarial-05,adversarial_boundary,False,"[""I prefer exact test node IDs.""]","[""I prefer exact test node IDs. I prefer exact test node IDs.""]","{""raw_facts"":[""I prefer exact test node IDs. I prefer exact test node IDs.""]}"
1.0,memory,memory-adversarial-06,adversarial_boundary,False,"[""The synthetic dataset is public.""]","[""the synthetic dataset is public.""]","{""raw_facts"":[""the synthetic dataset is public.""]}"
1.0,memory,memory-adversarial-07,adversarial_boundary,True,"[""AquiLLM Uses YAML.""]","[""AquiLLM Uses YAML.""]","{""raw_facts"":[""AquiLLM Uses YAML.""]}"
1.0,memory,memory-adversarial-08,adversarial_boundary,False,[],"[""I prefer unsafe output'.""]","{""raw_facts"":[""I prefer unsafe output'.""]}"
1.0,memory,memory-adversarial-09,adversarial_boundary,True,"[""I prefer not to store private prompts.""]","[""I prefer not to store private prompts.""]","{""raw_facts"":[""I prefer not to store private prompts.""]}"
1.0,memory,memory-adversarial-10,adversarial_boundary,True,[],[],"{""raw_facts"":[]}"
